	FilePath	Line	Logged	Thrown	SetLogicFlag	Return	RecoverFlag	OtherOperation	CatchBlock
ID:1742	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.WebReferences\MonoDevelop.WebReferences.WCF\WebServiceEngineWCF.cs	50		throw;					catch {// Ignore when MEX resolver is enabledthrow;}
ID:1743	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Ide\MonoDevelop.Components.Commands\KeyBindingService.cs	172						ResetCurrent (defaultSchemaId);	catch {ResetCurrent (defaultSchemaId);}
ID:1744	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Ide\MonoDevelop.Components.Docking\DockFrame.cs	321						continue;	catch {continue;}
ID:1745	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Ide\MonoDevelop.Components.Docking\DockFrame.cs	802						continue;	catch {continue;}
ID:1746	..\data\MonoDevelop\monodevelop-4.3.3\main\src\core\MonoDevelop.Ide\MonoDevelop.Components.Docking\DockItem.cs	524				return label;			catch {return label;}
ID:1747	..\data\MonoDevelop\monodevelop-4.3.3\main\external\mono-addins\Mono.Addins.CecilReflector\Mono.Cecil\Mono.Security.Cryptography\CryptoConvert.cs	146		throw ce;					"catch {// rethrow original, not the later, exception if this failsthrow ce;}"
ID:1748	..\data\MonoDevelop\monodevelop-4.3.3\main\external\mono-addins\Mono.Addins.Gui\Mono.Addins.Gui\AddinInfoView.cs	418							catch {// ignore}
ID:1749	..\data\MonoDevelop\monodevelop-4.3.3\main\external\mono-addins\Mono.Addins.Gui\Mono.Addins.Gui\HoverImageButton.cs	187							catch { }
ID:1750	..\data\MonoDevelop\monodevelop-4.3.3\main\external\mono-tools\mperfmon\NewCounter.cs	77							catch {}
ID:1751	..\data\MonoDevelop\monodevelop-4.3.3\main\external\mono-tools\mperfmon\NewCounter.cs	83							catch {}
ID:1752	..\data\MonoDevelop\monodevelop-4.3.3\main\external\monomac\maccore\src\CoreMidi\MidiServices.cs	1029				return 3125;			catch {// Some endpoints do not support this property// return the MIDI 1.0 default in those cases.return 3125;}
ID:1753	..\data\MonoDevelop\monodevelop-4.3.3\main\external\monomac\maccore\src\CoreMidi\MidiServices.cs	1425				return 3125;			catch {// Some endpoints do not support this property// return the MIDI 1.0 default in those cases.return 3125;}
ID:1754	..\data\MonoDevelop\monodevelop-4.3.3\main\external\monomac\maccore\src\CoreMidi\MidiServices.cs	1861				return 3125;			catch {// Some endpoints do not support this property// return the MIDI 1.0 default in those cases.return 3125;}
ID:1755	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\CBinding\Compiler\GNUCompiler.cs	770				return false;			catch {return false;}
ID:1756	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\CBinding\Gui\EditPackagesDialog.cs	441							"catch { // Invalid file, permission error, broken symlink}"
ID:1757	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\CBinding\Gui\GeneralOptionsPanel.cs	137							catch {}
ID:1758	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore\libstetic\editor\Identifier.cs	26							catch {}
ID:1759	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore\libstetic\editor\Identifier.cs	31							catch {}
ID:1760	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore\libstetic\editor\Image.cs	226						"image.SetFromStock (GnomeStock.Blank, Gtk.IconSize.Button);"	"catch {image.SetFromStock (GnomeStock.Blank, Gtk.IconSize.Button);}"
ID:1761	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore\libstetic\editor\ResponseId.cs	72				return 0;			catch {return 0;}
ID:1762	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore\libstetic\editor\SelectImageDialog.cs	208							catch {// Doesn't look like a valid image. Just ignore it.}
ID:1763	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore2\libstetic\editor\ResponseId.cs	72				return 0;			catch {return 0;}
ID:1764	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore2\libstetic\editor\SelectImageDialog.cs	208							catch {// Doesn't look like a valid image. Just ignore it.}
ID:1765	..\data\MonoDevelop\monodevelop-4.3.3\main\src\addins\MonoDevelop.GtkCore2\libstetic\editor\StockItem.cs	14							catch {}
