	FilePath	Line	Logged	Thrown	SetLogicFlag	Return	RecoverFlag	OtherOperation	CatchBlock
ID:298	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Addin\Project\Xml\ReportDefinitionParser.cs	176					"Trace.Fail(""List/Collection add failed:\r\n""+e.Message);"		"catch(Exception e){Trace.Fail(""List/Collection add failed:\r\n""+e.Message);}"
ID:299	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Addin\Project\Xml\ReportDefinitionParser.cs	192					"Trace.Fail(""Property setter for ""+pname+"" failed:\r\n""+e.Message);"		"catch(Exception e){Trace.Fail(""Property setter for ""+pname+"" failed:\r\n""+e.Message);}"
ID:300	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Addin\Project\Xml\ReportDefinitionParser.cs	237	"System.Console.WriteLine(""MycroParser : {0}"",s)"				"String s = String.Format(""Property setter for {0} failed {1}\r\n"",pi.Name, e.Message);"		"catch(Exception e){String s = String.Format(""Property setter for {0} failed {1}\r\n"",pi.Name, e.Message);System.Console.WriteLine(""MycroParser : {0}"",s);}"
ID:301	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Core\Project\ReportEngine.cs	187		throw;					catch (Exception) {throw;}
ID:302	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Core\Project\ReportEngine.cs	277		throw;					catch (Exception) {throw;}
ID:303	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Core\Project\ReportEngine.cs	349		throw;					catch (Exception) {throw;}
ID:304	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Core\Project\ReportEngine.cs	372		throw;					catch (Exception) {throw;}
ID:305	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Core\Project\ReportEngine.cs	395		throw;					catch (Exception) {throw;}
ID:306	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Core\Project\ReportEngine.cs	591		throw;					catch (Exception) {throw;}
ID:307	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Core\Project\ReportEngine.cs	642		throw;					catch (Exception) {throw;}
ID:308	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\cecil\Mono.Security.Cryptography\CryptoConvert.cs	64		"throw new CryptographicException (""Invalid blob."", e);"					"catch (Exception e) {throw new CryptographicException (""Invalid blob."", e);}"
ID:309	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\cecil\Mono.Security.Cryptography\CryptoConvert.cs	162		"throw new CryptographicException (""Invalid blob."", e);"					"catch (Exception e) {throw new CryptographicException (""Invalid blob."", e);}"
ID:310	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\ICSharpCode.Decompiler\Ast\AstMethodBodyBuilder.cs	70		"throw new ICSharpCode.Decompiler.DecompilerException(methodDef, ex);"					"catch (Exception ex) {throw new ICSharpCode.Decompiler.DecompilerException(methodDef, ex);}"
ID:311	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\ComponentInspector\ComponentInspector.Core\Src\ObjectBrowser\AssemblySupport.cs	142	"TraceUtil.WriteLineError(null, ""Other exception in GetTypes(): "" + ex)"	throw ex;					"catch (Exception ex) {TraceUtil.WriteLineError(null, ""Other exception in GetTypes(): "" + ex);throw ex;}"
ID:312	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\ComponentInspector\ComponentInspector.Core\Src\ObjectBrowser\AssemblySupport.cs	193	"TraceUtil.WriteLineWarning(null, ""Error adding local assembly: "" + assembly + "": "" + ex)"						"catch (Exception ex) {TraceUtil.WriteLineWarning(null, ""Error adding local assembly: "" + assembly + "": "" + ex);}"
ID:313	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\ComponentInspector\ComponentInspector.Core\Src\ObjectBrowser\AssemblySupport.cs	222	"TraceUtil.WriteLineWarning(null,""Assemblies - deleting bad assemblies entry: "" + assembly.CodeBase + "" "" + ex)"					_assemblies.Remove(assembly);	"catch (Exception ex) {TraceUtil.WriteLineWarning(null,""Assemblies - deleting bad assemblies entry: "" + assembly.CodeBase + "" "" + ex);_assemblies.Remove(assembly);progressDialog.UpdateProgress(1);}"
ID:314	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\ComponentInspector\ComponentInspector.Core\Src\ObjectBrowser\AssemblySupport.cs	219	"TraceUtil.WriteLineError(null, ""Unexpected exception restoring assemblies: "" + ex)"						"catch (Exception ex) {TraceUtil.WriteLineError(null, ""Unexpected exception restoring assemblies: "" + ex);}"
ID:315	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\samples\ComponentInspector\ComponentInspector.Core\Src\ObjectBrowser\AssemblySupport.cs	406					"TraceUtil.WriteLineIf(null, TraceLevel.Error, ""Exception processing assy load event: "" + args.LoadedAssembly.FullName + "" "" + ex);"		"catch (Exception ex) {TraceUtil.WriteLineIf(null, TraceLevel.Error, ""Exception processing assy load event: "" + args.LoadedAssembly.FullName + "" "" + ex);}"
ID:316	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\BackendBindings\CSharpBinding\Project\Src\CSharpSemanticHighlighter.cs	199		"throw new ApplicationException(""Error highlighting line "" + lineNumber, ex);"	hasCrashed = true				"catch (Exception ex) {hasCrashed = true;throw new ApplicationException(""Error highlighting line "" + lineNumber, ex);}"
ID:317	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\WpfDesign\WpfDesign.XamlDom\Project\NameScopeHelper.cs	44	Debug.WriteLine(x.Message)						catch (Exception x) {Debug.WriteLine(x.Message);}
ID:318	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\WpfDesign\WpfDesign.XamlDom\Project\NameScopeHelper.cs	53	Debug.WriteLine(x.Message)						catch (Exception x) {Debug.WriteLine(x.Message);}
ID:319	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\XmlEditor\Project\Src\XmlView.cs	294						indentedText = xml;	catch(Exception) {indentedText = xml;}
ID:320	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\DisplayBindings\XmlEditor\Project\Src\XmlView.cs	466					MessageService.ShowException(ex);		catch (Exception ex) {MessageService.ShowException(ex);}
ID:321	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Core\Project\DataManager\ListHandling\IndexList.cs	201							catch(Exception) {}
ID:322	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\AddIns\Misc\Reports\ICSharpCode.Reports.Core\Project\DataManager\ListStrategy\TableStrategy.cs	310		throw;					catch (Exception) {throw;}
ID:323	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\AvalonEdit\ICSharpCode.AvalonEdit\Editing\SelectionMouseHandler.cs	162					OnDragException(ex);		catch (Exception ex) {OnDragException(ex);}
ID:324	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\AvalonEdit\ICSharpCode.AvalonEdit\Editing\SelectionMouseHandler.cs	173					OnDragException(ex);		catch (Exception ex) {OnDragException(ex);}
ID:325	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\AvalonEdit\ICSharpCode.AvalonEdit\Editing\SelectionMouseHandler.cs	207					OnDragException(ex);		catch (Exception ex) {OnDragException(ex);}
ID:326	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\AvalonEdit\ICSharpCode.AvalonEdit\Editing\SelectionMouseHandler.cs	219					OnDragException(ex);		catch (Exception ex) {OnDragException(ex);}
ID:327	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\AvalonEdit\ICSharpCode.AvalonEdit\Editing\SelectionMouseHandler.cs	290					OnDragException(ex);		catch (Exception ex) {OnDragException(ex);}
ID:328	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\AvalonEdit\ICSharpCode.AvalonEdit\Editing\SelectionMouseHandler.cs	301					OnDragException(ex);		catch (Exception ex) {OnDragException(ex);}
ID:329	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\NRefactory\ICSharpCode.NRefactory.CSharp\Parser\mcs\anonymous.cs	1222		"throw new InternalErrorException (e, loc);"					"catch (Exception e) {throw new InternalErrorException (e, loc);}"
ID:330	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\NRefactory\ICSharpCode.NRefactory.CSharp\Parser\mcs\assembly.cs	855					"Report.Error (16, ""Could not write to file `"" + name + ""', cause: "" + e.Message);"		"catch (Exception e) {Report.Error (16, ""Could not write to file `"" + name + ""', cause: "" + e.Message);}"
ID:331	..\data\SharpDevelop\SharpDevelop-5.0-Beta2\src\Libraries\NRefactory\ICSharpCode.NRefactory.CSharp\Parser\mcs\attribute.cs	1034				return;	Error_AttributeEmitError (e.Message);		catch (Exception e) {Error_AttributeEmitError (e.Message);return;}
